다이렉트 인덱싱  체크리스트,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,투자성향,,,,,,,Factor,,,,,,,
1555,4,5,4,1,3,4,3,1,0,1,0,0,1,0,1
1556,4,5,4,3,5,3,5,1,0,1,1,0,1,1,1
1557,4,5,4,2,1,2,4,0,1,0,1,0,1,0,1
1558,3,2,5,5,3,4,5,1,1,1,0,0,0,0,0
1559,4,3,2,3,5,1,4,0,1,0,1,0,0,1,0
1560,3,3,1,5,1,5,3,1,1,0,0,1,1,1,0
1561,5,3,3,4,5,2,3,1,0,0,0,1,0,1,0
1562,3,4,5,1,2,1,2,1,1,1,0,0,1,1,0
1563,2,5,3,4,4,3,4,0,0,0,1,0,0,1,1
1564,2,2,5,5,3,5,3,0,0,0,0,0,0,1,1
1565,5,1,4,4,2,3,2,0,0,1,0,1,0,1,1
1566,2,4,3,1,2,4,2,0,1,1,0,1,0,0,0
1567,2,2,4,4,3,2,4,1,0,1,0,1,0,1,0
1568,2,5,3,3,4,3,5,0,0,1,0,1,0,1,0
1569,5,4,2,4,5,4,2,0,0,1,1,1,1,0,1
1570,1,5,5,3,5,4,2,0,0,0,1,1,0,1,1
1571,4,2,1,4,5,4,5,0,0,1,0,0,0,1,0
1572,1,5,3,3,2,3,5,1,0,1,1,0,1,1,0
1573,3,4,4,4,2,1,5,1,0,1,1,0,1,0,1
1574,4,4,2,1,4,3,2,1,0,1,0,1,0,1,0
1575,4,5,2,4,5,5,4,0,0,1,0,1,0,0,0
1576,3,3,5,1,1,1,4,0,1,1,1,1,1,1,1
1577,4,5,4,1,4,4,2,1,1,1,1,1,0,0,0
1578,3,3,3,2,5,5,5,0,1,1,1,1,0,0,1
1579,3,5,2,3,2,4,4,1,1,1,1,0,0,1,1
1580,3,5,3,1,5,3,4,0,1,0,0,1,1,1,1
1581,1,2,3,5,3,2,1,1,1,0,0,0,0,1,0
1582,3,2,1,5,5,2,4,0,1,1,1,1,0,1,1
1583,5,3,4,3,1,4,1,1,0,0,1,1,0,1,0
1584,4,4,3,1,4,1,3,1,0,0,0,1,0,0,1
1585,4,3,1,4,4,2,4,1,0,1,1,1,0,0,0
1586,2,1,1,4,2,1,2,0,1,0,0,0,0,0,1
1587,5,5,2,4,1,1,3,1,0,0,1,1,0,1,0
1588,1,4,5,1,2,1,5,1,0,0,0,0,1,0,0
1589,2,2,2,2,1,3,1,1,0,0,1,0,1,0,0
1590,2,1,5,1,1,2,3,0,1,0,0,1,0,0,1
1591,5,1,2,1,2,5,3,0,0,1,0,1,1,1,0
1592,5,4,1,3,2,5,3,1,1,0,0,0,0,1,1
1593,3,4,2,3,5,2,4,0,0,0,0,1,1,0,1
1594,2,3,4,3,1,3,2,1,1,1,1,1,1,0,1
1595,4,4,4,5,5,1,1,0,0,1,0,1,0,1,0
1596,2,2,4,4,5,1,1,0,1,0,0,1,1,0,1
1597,5,3,3,5,1,1,1,1,1,1,0,1,0,1,1
1598,2,3,4,1,4,3,4,1,1,0,1,0,1,1,0
1599,2,5,5,4,2,4,3,0,1,1,0,0,1,1,1
1600,1,1,2,3,3,5,3,0,0,0,1,1,1,0,0
1601,1,1,4,4,1,3,4,1,1,0,0,1,1,1,1
1602,4,4,5,4,4,3,4,0,1,0,1,1,0,0,0
1603,4,3,4,4,1,4,2,0,0,0,0,1,1,1,0
1604,2,1,4,2,4,3,5,1,1,1,0,0,0,0,1
1605,1,4,3,4,4,5,3,0,1,0,0,1,0,1,1
1606,3,2,1,2,5,3,2,1,1,0,0,0,1,1,0
1607,5,3,2,2,4,5,2,0,1,1,0,1,1,1,1
1608,4,3,1,1,3,2,2,0,1,0,1,0,0,1,0
1609,2,4,3,1,4,1,5,0,0,1,1,1,0,1,0
1610,1,4,1,4,2,4,2,1,0,1,0,0,1,1,0
1611,3,1,4,5,1,4,4,0,1,0,1,1,1,0,1
1612,5,5,1,2,2,3,2,0,0,0,1,1,1,1,0
1613,3,5,4,2,5,1,3,1,0,0,1,0,0,1,1
1614,3,5,1,1,1,2,3,0,0,1,0,0,1,0,0
1615,5,3,3,1,4,5,4,1,0,0,0,1,1,1,0
1616,5,1,4,1,1,1,1,0,0,1,0,0,0,0,0
1617,1,3,4,3,3,1,3,1,0,0,1,0,1,0,0
1618,2,5,2,2,4,5,1,1,0,0,1,0,1,0,0
1619,5,5,4,5,4,2,1,1,0,0,1,0,0,1,0
1620,1,5,3,4,2,4,2,0,1,0,1,1,0,0,0
1621,1,4,5,5,5,3,2,0,1,1,1,0,0,0,1
1622,1,3,4,1,1,4,2,1,1,0,1,1,1,1,1
1623,5,5,2,4,5,4,2,1,0,1,0,0,1,0,0
1624,4,4,4,4,1,1,5,1,1,0,0,1,1,1,0
1625,4,4,3,3,4,4,2,1,0,0,0,0,0,1,0
1626,1,2,1,5,3,3,4,1,1,0,1,1,0,0,0
1627,1,3,3,5,3,1,5,1,0,0,0,0,0,1,0
1628,1,2,4,2,2,4,5,1,1,1,1,0,0,1,1
1629,3,3,1,5,3,4,5,1,1,1,1,0,0,1,1
1630,2,2,1,1,1,4,2,0,0,1,1,1,0,0,0
1631,4,2,2,5,2,1,3,0,1,1,0,0,1,1,0
1632,1,3,4,3,3,2,4,0,0,1,0,1,0,0,1
1633,4,2,2,5,5,3,1,1,1,1,1,1,0,1,0
1634,3,3,1,2,5,2,3,1,1,0,1,1,0,1,1
1635,5,5,2,1,2,1,2,0,1,0,1,0,0,0,0
1636,4,1,3,5,4,5,3,0,1,1,1,0,0,0,0
1637,2,2,2,4,3,5,5,1,1,0,0,0,1,1,0
1638,2,1,5,2,1,3,5,0,0,0,1,0,0,1,1
1639,5,5,1,5,1,2,5,0,0,1,0,1,1,1,0
1640,3,4,1,2,1,1,4,1,1,0,0,1,1,0,1
1641,1,4,2,1,3,1,4,0,0,1,1,1,1,1,1
1642,4,4,5,1,4,3,2,1,0,0,0,1,0,0,1
1643,3,1,1,4,3,3,5,1,0,0,0,0,0,1,0
1644,3,5,3,3,4,3,5,1,0,0,1,0,1,1,0
1645,5,4,5,1,2,2,4,1,0,1,0,0,0,1,1
1646,4,1,3,4,1,5,1,1,0,0,0,1,1,0,0
1647,4,2,2,2,2,3,3,1,0,1,0,0,1,1,0
1648,1,2,1,2,1,3,2,1,1,1,0,0,1,1,0
1649,4,5,2,1,2,2,1,0,1,0,1,1,1,0,1
1650,4,3,3,1,3,3,5,1,1,0,1,0,0,0,0
1651,5,3,4,5,1,1,5,1,1,0,0,1,0,0,1
1652,5,4,4,1,1,5,2,1,0,1,1,1,1,0,1
1653,5,2,2,2,3,3,4,0,1,0,0,1,0,0,1
1654,5,4,1,3,3,1,5,1,1,1,1,0,0,0,1
1655,4,3,1,3,1,4,1,1,1,1,0,1,1,0,0
1656,3,4,5,1,2,1,2,1,0,0,0,0,1,0,0
1657,2,4,1,5,3,5,2,0,0,0,0,0,1,0,0
1658,3,5,2,5,5,1,3,1,1,1,1,0,1,1,1
1659,4,3,3,5,4,4,4,1,1,0,0,1,0,1,1
1660,5,5,4,5,5,3,3,1,0,0,0,1,1,0,0
1661,4,1,2,5,4,4,5,0,1,1,0,0,1,0,1
1662,2,3,2,5,1,3,1,1,0,1,1,1,0,0,0
1663,5,4,5,1,2,4,4,0,1,1,0,1,1,0,0
1664,2,2,5,4,3,4,1,0,0,0,1,0,0,0,1
1665,4,3,5,1,1,5,3,1,1,1,0,1,1,1,0
1666,4,4,3,4,1,4,4,1,0,1,1,0,0,1,0
1667,4,1,5,5,1,5,3,1,1,0,1,0,1,1,1
1668,3,5,1,2,5,5,5,0,0,1,1,1,0,1,0
1669,1,5,1,4,4,1,4,0,1,0,1,0,1,0,0
1670,3,1,4,1,2,5,2,1,0,1,0,0,1,1,1
1671,1,3,3,5,2,1,4,0,1,0,0,0,0,0,0
1672,2,1,1,1,5,4,3,0,0,1,1,0,1,1,1
1673,2,2,3,1,5,2,3,1,1,0,1,1,1,1,0
1674,3,5,2,2,2,5,3,0,1,0,1,1,0,1,0
1675,3,5,1,5,5,4,5,0,0,0,0,0,0,0,0
1676,1,3,3,4,2,2,4,0,1,0,1,0,1,0,0
1677,3,2,5,2,5,1,2,0,1,1,0,0,1,0,1
1678,5,3,1,5,2,3,4,1,0,1,1,0,1,0,0
1679,2,4,4,1,1,3,3,1,0,0,1,1,0,1,0
1680,5,4,4,5,3,1,4,0,0,1,0,0,0,0,0
1681,3,5,2,4,5,1,3,0,1,1,0,0,1,1,0
1682,5,3,3,4,1,4,4,0,1,1,1,1,0,1,0
1683,4,1,1,5,3,4,3,0,0,1,1,1,1,0,1
1684,1,2,4,5,2,4,4,1,1,1,1,1,0,1,1
1685,3,5,5,2,3,2,4,0,1,1,0,1,1,1,1
1686,2,5,3,1,5,3,2,0,0,1,0,1,0,1,0
1687,4,1,4,2,3,2,5,0,0,1,0,1,0,0,0
1688,3,5,3,5,5,5,2,1,1,1,1,1,1,0,1
1689,2,5,5,5,3,3,2,1,1,1,0,0,1,0,1
1690,3,1,1,1,5,3,5,0,0,1,0,0,0,1,0
1691,3,5,5,5,3,5,5,0,1,1,1,1,1,1,1
1692,4,2,3,2,2,1,4,0,1,0,0,0,0,0,0
1693,2,1,5,4,3,3,2,1,0,0,0,1,0,1,1
1694,5,4,4,4,4,4,3,0,0,1,1,1,1,0,0
1695,4,1,1,1,1,5,4,0,0,1,1,0,1,1,1
1696,1,4,3,4,2,1,4,1,1,0,0,1,1,0,1
1697,5,4,3,2,1,1,2,0,0,1,0,1,1,0,0
1698,4,3,5,3,4,5,4,0,0,1,1,1,0,0,0
1699,1,5,1,1,5,4,3,1,1,0,0,0,1,0,0
1700,5,3,3,3,4,3,3,1,1,1,0,0,1,1,1
1701,3,5,2,4,2,3,3,0,1,1,1,1,1,0,1
1702,5,5,5,4,1,3,4,1,0,0,0,1,1,0,1
1703,3,4,4,1,3,4,1,0,1,1,0,0,0,0,1
1704,1,4,4,2,3,4,2,1,0,1,0,1,0,0,0
1705,1,3,3,2,3,3,2,0,0,1,1,0,0,0,1
1706,4,4,2,5,2,2,4,0,0,1,1,1,1,0,0
1707,3,3,4,3,1,3,2,1,0,1,1,0,0,0,0
1708,2,4,1,5,1,1,4,1,0,1,1,1,0,0,1
1709,3,1,2,5,5,5,1,1,1,0,0,0,1,0,0
1710,2,1,2,1,2,5,5,1,1,0,0,0,0,1,0
1711,5,1,1,1,1,1,2,0,0,0,0,1,1,0,1
1712,5,4,2,2,1,3,3,0,1,1,1,1,1,0,1
1713,5,4,2,5,3,1,3,1,1,1,1,1,1,1,1
1714,1,4,3,3,4,3,2,0,1,1,0,1,1,0,0
1715,3,3,1,3,3,1,1,1,0,0,1,0,0,0,1
1716,2,5,5,1,3,5,2,0,0,1,0,0,0,1,0
1717,3,1,2,3,3,2,3,0,1,1,1,0,1,0,1
1718,2,1,4,5,3,1,2,0,1,0,1,0,1,0,1
1719,1,3,5,5,4,4,1,0,1,1,0,0,1,0,1
1720,1,4,3,4,3,4,3,0,1,0,0,0,1,0,1
1721,4,3,4,4,2,3,4,1,0,0,1,1,1,0,0
1722,4,1,5,5,4,4,1,0,0,1,1,0,1,1,0
1723,2,2,1,3,1,5,4,0,1,1,0,0,0,1,1
1724,3,5,5,4,1,4,3,0,1,1,1,0,0,0,0
1725,1,3,1,2,1,4,1,0,1,1,0,1,0,0,1
1726,5,5,5,1,4,3,3,0,1,1,1,1,1,0,1
1727,1,1,3,4,3,5,4,0,0,1,1,0,0,1,1
1728,5,5,5,1,2,1,3,0,1,0,1,0,1,0,1
1729,5,1,4,3,3,1,3,0,0,0,1,0,0,1,0
1730,5,4,2,1,1,3,5,0,0,1,1,0,1,0,0
1731,2,3,5,3,1,4,1,1,1,0,1,0,0,0,0
1732,4,4,2,4,5,1,5,1,1,0,1,1,0,1,1
1733,4,5,2,5,5,2,5,1,0,1,1,1,0,0,0
1734,3,3,3,2,5,1,3,0,0,1,1,0,0,0,0
1735,5,2,3,1,1,4,5,0,1,0,1,0,1,1,1
1736,2,5,2,1,3,4,2,1,0,1,0,1,0,0,1
1737,4,1,4,3,3,3,2,0,1,1,0,1,0,1,0
1738,1,2,2,5,3,3,3,0,1,1,1,0,0,1,1
1739,4,3,1,2,2,3,2,0,0,0,1,0,0,0,1
1740,2,5,2,3,2,3,1,1,0,0,1,1,0,1,1
1741,2,1,3,1,3,5,2,1,0,0,0,0,0,0,1
1742,4,2,1,3,3,2,3,0,1,0,0,0,1,1,0
1743,5,2,3,5,2,2,3,0,1,0,1,0,1,1,0
1744,5,4,1,4,5,4,3,1,1,0,1,1,0,1,1
1745,3,5,3,5,3,4,3,0,1,1,1,0,1,1,0
1746,3,2,2,2,4,3,3,0,0,1,0,0,1,0,1
1747,1,2,5,3,1,3,4,0,1,0,0,1,0,1,1
1748,5,5,2,5,4,2,1,0,0,0,0,0,0,0,0
1749,1,2,5,4,3,2,1,0,0,0,1,1,0,1,0
1750,5,1,5,2,3,3,4,0,1,0,1,1,1,0,1
1751,4,5,3,5,4,3,4,0,1,1,1,0,1,0,0
1752,5,3,1,4,4,1,1,0,1,1,1,1,0,0,1
1753,3,2,2,5,5,3,5,1,0,1,0,1,0,1,0
1754,1,3,2,2,2,3,1,1,1,1,0,0,1,1,1
1755,1,1,3,3,1,1,2,1,1,1,0,0,0,1,1
1756,3,2,3,1,5,1,4,0,1,1,0,1,0,1,1
1757,4,1,4,3,1,2,1,1,0,0,0,0,1,0,1
1758,3,5,3,2,1,4,5,1,1,1,1,1,1,1,0
1759,5,4,3,1,2,2,2,1,1,0,0,0,0,0,0
1760,4,5,2,2,4,2,1,1,0,0,0,0,0,0,0
1761,2,4,5,3,1,5,2,1,0,0,1,0,1,0,1
1762,2,5,5,5,2,4,1,1,1,0,0,1,0,1,1
1763,2,3,3,5,2,3,2,1,1,0,0,0,1,1,0
1764,4,2,4,1,5,4,2,1,0,1,1,0,0,1,1
1765,3,2,2,2,5,1,4,0,1,1,0,0,0,0,0
1766,4,2,3,2,4,3,2,0,0,0,0,1,0,1,1
1767,5,1,3,1,1,4,5,1,1,1,0,0,1,1,0
1768,4,1,5,4,2,1,1,0,1,0,1,1,0,1,1
1769,2,2,5,2,5,3,5,0,1,0,1,0,0,0,0
1770,5,5,5,2,5,4,4,0,0,1,0,0,1,0,0
1771,1,5,3,5,5,5,3,1,0,0,0,0,0,0,1
1772,2,1,1,1,3,1,2,0,1,0,1,0,0,0,0
1773,4,3,4,3,4,5,2,1,0,0,1,1,1,0,0
1774,2,4,4,3,1,2,3,0,0,1,0,1,0,0,1
1775,4,2,5,3,5,4,4,0,0,1,1,1,1,0,1
1776,2,3,3,5,3,2,1,0,1,0,0,0,0,0,1
1777,3,5,4,3,5,2,2,1,1,0,1,1,0,0,1
1778,1,5,5,1,3,4,3,1,0,0,1,1,1,1,0
1779,5,2,4,3,5,2,4,1,1,1,0,0,1,0,0
1780,2,2,5,2,4,4,5,1,1,1,0,0,1,1,0
1781,1,1,4,2,2,1,1,0,1,1,1,1,0,1,0
1782,1,3,5,3,4,4,5,1,0,0,0,0,1,0,1
1783,1,3,3,1,4,2,5,1,1,0,1,0,0,0,1
1784,2,3,3,3,2,2,1,0,0,1,1,1,0,0,1
1785,3,5,5,2,1,2,1,1,0,1,0,1,1,1,1
1786,5,5,5,3,5,3,5,0,0,1,1,0,0,1,0
1787,1,1,1,3,2,2,1,1,1,0,1,0,1,1,0
1788,5,5,3,1,5,3,3,0,1,1,1,0,1,1,0
1789,1,3,2,1,2,1,4,0,0,0,0,0,1,1,1
1790,4,1,1,1,4,2,4,1,0,0,1,1,0,1,1
1791,3,2,4,3,1,5,5,0,0,1,1,0,0,0,1
1792,5,2,5,5,5,2,2,0,1,1,0,1,1,1,1
1793,3,1,4,2,1,2,3,0,0,1,0,1,1,1,0
1794,4,4,5,2,4,1,5,0,1,1,0,1,1,1,0
1795,3,5,4,5,5,4,5,1,0,1,0,1,1,1,1
1796,1,1,2,4,2,2,3,0,1,0,0,0,1,1,0
1797,3,3,3,1,5,1,5,0,0,1,0,1,1,1,0
1798,5,4,4,5,2,1,3,1,1,1,0,0,0,0,0
1799,3,1,3,4,3,5,4,1,1,0,1,0,1,0,0
1800,1,4,5,4,4,3,5,1,1,0,0,1,1,1,0
1801,4,4,3,1,1,2,1,1,1,0,0,0,1,1,1
1802,5,5,2,2,4,2,2,1,1,1,1,1,0,1,1
1803,4,3,5,3,1,2,4,0,0,0,1,1,1,0,1
1804,3,2,4,2,3,3,5,1,1,1,0,1,0,0,1
1805,5,1,3,5,5,1,2,0,0,1,1,0,1,1,1
1806,1,3,5,2,5,5,3,1,1,0,0,0,0,1,0
1807,4,3,4,4,4,2,1,0,1,0,1,0,1,0,1
1808,4,2,3,5,4,4,1,1,1,1,0,0,0,0,0
1809,2,3,1,4,2,2,5,1,1,1,1,0,1,1,0
1810,4,1,5,2,3,2,1,0,0,1,1,1,1,0,1
1811,1,5,4,1,5,4,4,0,1,1,0,1,1,0,0
1812,2,4,5,3,2,3,3,0,1,1,1,1,1,1,0
1813,2,1,4,5,2,3,3,0,1,1,1,0,1,1,0
1814,4,4,2,1,2,5,2,0,1,1,1,0,1,1,0
1815,3,5,2,3,4,2,2,1,1,0,0,0,0,0,1
1816,5,5,3,1,3,3,3,0,1,1,0,0,0,0,0
1817,3,4,5,1,3,3,2,0,1,1,0,0,1,0,0
1818,4,2,2,4,3,2,5,0,0,0,1,1,1,0,0
1819,3,2,5,5,3,5,1,0,1,1,1,0,1,0,0
1820,1,2,4,3,4,2,5,1,0,0,1,0,0,1,1
1821,5,4,2,2,2,5,4,1,1,0,0,1,0,0,0
1822,2,1,1,2,2,5,2,1,1,0,0,0,1,0,0
1823,1,1,2,2,1,1,2,1,0,0,0,0,0,1,1
1824,2,4,4,3,2,4,4,0,0,0,0,1,1,0,1
1825,2,2,5,3,4,4,3,1,1,0,1,0,1,1,0
1826,3,5,2,5,2,3,1,1,0,0,0,0,0,1,0
1827,5,2,3,2,3,1,2,1,1,1,1,1,1,1,0
1828,3,5,1,3,2,4,1,1,1,0,0,1,1,1,0
1829,4,1,3,1,5,3,2,1,0,1,0,1,1,1,1
1830,1,4,2,3,5,1,2,1,0,1,0,1,0,1,0
1831,4,5,5,4,5,5,4,1,0,0,1,0,1,1,1
1832,2,1,2,1,4,2,1,1,1,0,1,0,1,0,1
1833,3,2,1,2,4,3,4,1,1,0,0,1,1,1,1
1834,5,1,4,3,2,5,5,0,1,0,0,1,1,0,0
1835,2,4,4,3,5,3,5,1,1,0,1,0,1,0,0
1836,4,3,1,4,2,2,1,0,1,0,0,1,0,1,0
1837,1,2,3,3,3,1,5,0,1,1,0,1,1,1,0
1838,5,4,2,3,4,1,4,1,1,0,1,1,0,0,1
1839,4,2,1,2,5,4,5,0,1,0,1,0,0,1,1
1840,1,3,1,3,3,4,5,1,0,1,0,0,0,1,1
1841,3,1,4,1,5,4,1,0,1,0,0,0,1,0,0
1842,1,2,4,4,2,2,2,1,1,0,1,0,0,0,0
1843,5,3,3,1,5,5,1,1,1,0,0,0,1,0,0
1844,5,5,3,2,5,2,2,0,1,0,1,0,0,1,0
1845,5,5,1,2,5,3,1,0,0,1,0,0,1,0,0
1846,5,4,2,4,3,1,1,0,1,1,1,0,0,0,1
1847,2,2,5,2,4,3,4,0,1,0,1,1,1,1,1
1848,1,2,4,2,4,3,3,1,0,0,1,0,0,1,1
1849,5,1,3,3,5,3,1,0,1,0,1,1,0,1,0
1850,2,4,3,1,1,2,5,0,0,0,0,0,1,0,1
1851,3,4,2,3,1,3,2,0,0,1,0,0,1,0,0
1852,3,3,5,2,5,4,2,1,0,1,0,0,1,1,0
1853,3,3,3,2,5,5,5,1,1,0,0,0,1,1,1
1854,2,2,3,3,3,2,5,1,1,0,0,0,1,1,1
1855,5,3,4,2,1,3,3,1,0,0,0,0,1,1,0
1856,3,2,2,1,4,2,1,1,1,1,1,1,0,1,1
1857,1,3,4,1,3,4,4,1,0,0,0,0,1,0,1
1858,5,3,1,4,1,2,1,1,1,0,1,1,1,0,1
1859,1,5,1,5,4,5,2,1,1,1,1,0,1,0,0
1860,1,4,2,1,4,4,4,1,1,0,1,0,0,1,1
1861,1,4,1,3,4,1,5,1,0,1,0,0,0,1,1
1862,1,2,1,5,2,3,5,1,0,0,1,0,1,1,1
1863,2,1,4,1,4,2,1,1,1,1,1,1,0,1,1
1864,3,4,5,2,1,1,4,1,0,1,1,1,0,0,1
1865,1,2,5,5,2,5,3,0,0,1,0,1,1,1,1
1866,5,5,5,4,5,3,3,1,1,1,0,0,0,0,1
1867,4,3,2,3,5,4,4,1,1,1,0,0,0,0,1
1868,3,1,2,3,2,4,5,1,0,1,1,0,0,0,1
1869,5,2,3,5,1,4,2,0,1,1,0,0,1,0,1
1870,1,3,3,5,3,2,2,1,0,1,0,1,0,0,0
1871,4,1,5,2,1,5,1,0,0,0,1,0,0,0,1
1872,3,4,2,3,1,5,1,1,0,0,0,0,0,0,1
1873,4,1,3,1,1,4,3,1,1,0,1,0,1,1,0
1874,3,2,4,5,2,3,5,1,0,0,1,0,0,1,0
1875,5,3,1,5,4,4,4,1,0,1,1,1,1,0,1
1876,5,2,4,2,4,5,1,0,1,0,0,0,1,0,1
1877,4,3,4,2,3,2,3,1,1,0,1,1,1,1,1
1878,3,4,5,1,4,1,4,0,1,0,1,0,1,0,1
1879,4,1,1,3,3,1,2,1,0,0,0,0,1,0,1
1880,2,4,1,5,5,3,3,1,1,1,1,1,0,1,0
1881,2,4,1,4,1,2,1,1,1,1,1,0,1,0,0
1882,5,4,2,3,3,4,2,0,1,0,1,1,0,1,1
1883,2,1,2,3,1,2,4,1,1,0,0,1,0,1,1
1884,4,5,1,2,2,5,4,1,0,1,0,1,1,1,0
1885,3,4,5,2,5,2,2,1,0,0,0,1,1,0,1
1886,1,4,3,4,4,3,5,0,1,1,1,0,0,0,0
1887,1,5,2,3,2,1,5,1,1,0,0,0,0,0,0
1888,2,1,5,1,1,3,4,0,0,1,0,0,0,0,0
1889,1,1,2,5,3,2,1,0,1,1,0,0,1,0,0
1890,3,5,4,3,1,3,5,0,0,1,1,1,0,1,1
1891,4,5,5,4,4,5,1,1,0,0,1,1,1,1,1
1892,1,2,2,2,4,1,2,0,1,1,1,1,1,0,0
1893,3,2,4,4,4,5,5,1,0,0,0,1,0,0,1
1894,4,3,2,5,2,5,5,0,1,1,1,0,1,0,0
1895,1,1,1,2,1,2,3,0,1,0,1,0,1,1,0
1896,5,3,2,5,5,2,4,0,1,1,1,0,0,1,0
1897,4,5,4,1,5,2,4,1,1,1,0,0,0,1,0
1898,4,1,3,3,3,4,1,1,1,1,1,1,0,0,0
1899,5,1,5,4,2,4,3,0,0,1,0,1,0,0,0
1900,4,5,5,4,1,2,5,1,0,0,0,0,0,0,0
1901,1,3,1,1,2,5,3,1,0,0,1,0,0,1,0
1902,1,1,2,4,3,1,4,1,0,0,0,0,0,1,1
1903,2,4,5,2,4,2,1,1,0,0,1,1,1,1,0
1904,3,2,4,4,1,5,5,1,1,0,1,1,1,0,1
1905,2,4,2,5,4,5,5,0,0,0,1,1,1,0,0
1906,5,4,3,4,3,2,4,0,0,1,0,0,0,0,1
1907,1,2,3,3,5,3,3,0,0,0,0,0,0,0,1
1908,4,4,1,2,3,2,1,1,0,1,1,0,0,0,0
1909,2,4,2,1,4,2,3,1,1,0,0,0,0,0,1
1910,1,5,1,2,4,4,5,1,1,0,0,0,1,1,0
1911,1,4,2,2,5,1,1,0,0,1,0,1,0,0,1
1912,1,4,4,4,3,3,5,1,0,0,1,1,1,0,0
1913,2,1,3,5,2,1,5,1,1,0,0,0,1,1,1
1914,1,1,4,1,3,2,3,1,1,0,0,0,0,1,1
1915,2,3,4,3,5,3,1,1,0,1,0,1,1,1,0
1916,1,5,4,5,3,5,5,0,1,0,0,1,0,0,1
1917,1,3,4,3,5,3,3,1,1,0,1,1,1,0,0
1918,1,4,3,2,2,1,1,0,1,0,1,0,0,1,0
1919,1,3,5,3,4,1,1,1,0,1,0,0,1,0,0
1920,1,1,1,5,3,3,4,0,0,1,0,0,0,0,0
1921,5,3,1,3,5,1,3,0,0,1,1,0,1,0,1
1922,1,5,3,3,2,4,5,0,0,1,0,1,1,1,0
1923,4,4,1,3,1,3,1,0,1,0,1,0,0,1,0
1924,1,4,3,5,3,3,4,0,0,0,0,0,1,1,1
1925,3,2,3,2,4,3,5,0,0,1,0,1,1,1,0
1926,4,5,4,1,1,5,1,1,1,1,0,1,0,1,1
1927,4,1,4,3,2,2,4,1,0,1,1,0,0,0,1
1928,5,1,4,4,2,5,4,0,1,0,0,0,0,0,0
1929,5,1,2,2,5,3,4,0,0,0,0,1,1,0,1
1930,3,4,4,2,3,3,5,1,0,1,0,1,1,1,0
1931,2,3,5,2,1,2,5,0,1,1,0,0,1,0,0
1932,1,1,3,4,4,3,2,1,1,0,1,0,0,0,1
1933,4,3,4,4,2,2,5,1,0,0,1,1,0,0,1
1934,1,3,5,1,1,2,1,0,0,1,0,1,0,0,0
1935,4,3,3,3,1,1,2,1,0,0,0,1,0,1,1
1936,4,4,1,5,4,3,4,1,0,0,0,0,0,1,1
1937,5,1,5,4,4,5,5,0,0,1,1,1,1,1,0
1938,2,2,1,5,2,5,5,0,0,1,0,1,1,0,0
1939,4,4,2,2,2,4,1,1,1,1,0,0,1,1,1
1940,5,3,1,3,2,4,3,1,1,0,0,1,0,0,0
1941,1,3,3,4,2,1,3,0,0,1,1,0,1,1,0
1942,2,4,2,3,4,2,5,1,1,0,0,0,1,1,0
1943,5,1,1,1,5,3,4,1,0,1,0,0,0,1,1
1944,5,4,5,2,1,1,5,0,0,0,1,0,0,0,1
1945,5,3,2,5,4,2,4,1,1,0,1,0,1,0,0
1946,1,4,5,5,3,2,4,0,0,0,1,0,1,1,0
1947,5,3,1,1,1,4,3,0,0,1,0,0,1,1,0
1948,2,4,1,3,5,1,2,0,0,1,0,0,1,0,0
1949,4,5,3,1,4,4,5,0,0,1,0,0,1,0,1
1950,1,2,1,3,3,5,3,1,1,1,0,0,1,1,1
1951,2,2,5,3,4,4,5,0,0,1,0,0,0,0,0
1952,3,2,3,3,2,5,4,1,0,0,0,0,1,1,0
1953,3,2,3,4,1,3,5,0,0,0,1,0,0,0,1
1954,4,1,2,3,1,1,3,1,0,1,0,1,1,0,1
1955,1,5,2,1,4,4,1,0,0,0,0,1,0,0,0
1956,2,1,1,5,3,3,2,1,1,1,0,0,1,1,0
1957,4,2,3,3,1,4,3,0,1,0,0,1,0,0,1
1958,3,2,2,3,1,2,1,0,0,0,0,0,0,0,0
1959,4,5,5,3,2,1,2,1,1,1,0,0,0,1,0
1960,5,2,2,4,3,3,5,1,1,0,0,1,0,0,1
1961,5,3,4,3,1,4,1,0,0,0,0,0,1,1,0
1962,1,4,4,1,4,1,4,0,0,0,0,1,1,0,0
1963,4,2,3,1,5,5,1,1,1,0,0,1,1,1,0
1964,2,2,1,3,1,3,1,1,0,1,0,1,0,0,0
1965,2,4,1,4,1,2,1,1,0,0,1,0,0,0,0
1966,1,5,1,1,5,2,3,1,1,1,1,0,0,0,1
1967,5,2,1,1,4,3,1,1,1,1,0,0,0,0,0
1968,1,5,2,4,5,3,4,1,0,0,1,0,0,1,1
1969,4,1,1,1,5,1,4,1,1,1,0,1,1,1,1
1970,1,5,1,5,1,5,4,1,0,1,0,1,0,1,0
1971,4,3,2,1,5,1,2,0,1,1,1,0,0,1,0
1972,5,2,5,3,2,4,4,1,0,1,0,0,0,1,0
1973,1,1,1,4,4,5,4,0,1,1,0,0,0,0,1
1974,3,2,2,4,1,2,3,0,1,0,1,0,1,0,1
1975,1,5,4,5,3,3,4,0,0,1,1,0,1,1,0
1976,3,4,4,4,4,5,5,1,0,0,0,0,1,0,1
